Row ID,Order ID,Order Status,Order_Purchase_Date,Order_Delivered_Date,Order_Estimated_Delivery_Date),Ship Mode,VendorID,Customer ID,Segment,State,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
8034,CA-2015-119690,delivered,8/28/2017,9/8/2017,9/25/2017,First Class,VEN05,MV-17485,#N/A,#N/A,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",0.984,2,0.8,-1.476
2762,CA-2017-126536,delivered,9/30/2017,10/11/2017,11/6/2017,First Class,VEN05,NK-18490,Home Office,Washington,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,0.99,1,0,0.4356
1686,CA-2017-149489,delivered,3/10/2017,3/21/2017,3/31/2017,First Class,VEN02,DK-12835,#N/A,#N/A,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,1.188,2,0.7,-0.99
76,US-2017-118038,delivered,7/28/2017,8/7/2017,8/17/2017,First Class,VEN04,KB-16600,Corporate,Michigan,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
6990,CA-2017-165099,delivered,6/7/2018,6/11/2018,6/25/2018,First Class,VEN01,DK-13375,#N/A,#N/A,OFF-AP-10001634,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum,1.392,2,0.8,-3.7584
2214,CA-2017-129378,delivered,10/17/2017,10/23/2017,11/3/2017,First Class,VEN04,NS-18505,#N/A,#N/A,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.44,1,0.2,0.504
2728,CA-2017-119193,delivered,6/7/2017,6/19/2017,6/30/2017,First Class,VEN01,SK-19990,Consumer,Connecticut,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,1.641,1,0.7,-1.3128
62,CA-2016-111682,delivered,11/29/2017,12/11/2017,12/22/2017,First Class,VEN02,TB-21055,Consumer,New York,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
1225,CA-2016-126004,delivered,8/2/2018,8/8/2018,8/16/2018,First Class,VEN01,BM-11140,Consumer,Texas,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,1.728,1,0.2,0.6048
4225,CA-2016-108644,delivered,11/18/2017,11/27/2017,12/11/2017,First Class,VEN02,SJ-20215,#N/A,#N/A,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1.964,2,0.8,-3.2406
1359,CA-2017-160045,delivered,12/6/2017,12/12/2017,1/9/2018,First Class,VEN04,LB-16735,#N/A,#N/A,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",1.988,1,0.6,-1.4413
1451,US-2015-160150,delivered,3/20/2018,3/26/2018,4/2/2018,First Class,VEN05,TS-21085,#N/A,#N/A,OFF-BI-10004352,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders,2.025,1,0.7,-1.35
6056,CA-2016-113551,delivered,9/1/2017,9/14/2017,9/22/2017,First Class,VEN01,NF-18385,Consumer,Illinois,OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,2.068,1,0.8,-3.4122
4879,US-2016-131891,delivered,9/10/2017,9/18/2017,10/6/2017,First Class,VEN01,PW-19240,#N/A,#N/A,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",2.214,3,0.7,-1.476
8451,CA-2017-125451,delivered,11/7/2017,11/22/2017,11/24/2017,First Class,VEN03,AH-10075,#N/A,#N/A,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,2.22,1,0,0.666
7763,CA-2017-156391,delivered,6/17/2018,6/19/2018,6/28/2018,First Class,VEN04,SL-20155,#N/A,#N/A,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,2.224,1,0.2,0.556
2502,CA-2017-131618,delivered,1/28/2018,2/19/2018,3/1/2018,First Class,VEN05,LS-17200,#N/A,#N/A,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,2.304,4,0.8,-3.5712
6252,CA-2014-101147,delivered,6/22/2018,7/2/2018,8/1/2018,First Class,VEN05,MC-17575,#N/A,#N/A,OFF-AP-10004249,Office Supplies,Appliances,Staple holder,2.394,1,0.8,-6.3441
9753,US-2016-158680,delivered,4/30/2018,5/7/2018,5/23/2018,First Class,VEN03,NZ-18565,Home Office,California,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,2.496,1,0.2,0.9048
1449,US-2014-112564,delivered,7/16/2018,7/24/2018,8/7/2018,First Class,VEN01,TS-21160,#N/A,#N/A,OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,2.502,3,0.7,-1.7514
2050,CA-2015-142237,delivered,4/25/2018,5/14/2018,5/24/2018,First Class,VEN03,CK-12595,Consumer,Ohio,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,2.502,3,0.7,-2.0016
203,CA-2014-133690,delivered,1/27/2017,2/10/2017,3/9/2017,First Class,VEN05,BS-11755,Consumer,Colorado,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925
565,CA-2015-130736,delivered,4/21/2018,5/7/2018,5/28/2018,First Class,VEN05,JF-15490,Consumer,Washington,OFF-LA-10000634,Office Supplies,Labels,Avery 509,2.61,1,0,1.2006
